"HospitalID","HospitalName"
1,"Abbott Inc"
2,"Abbott LLC"
3,"Abbott PLC"
4,"Abbott, Curry and Moore"
5,"Abbott-Jordan"
6,"Abbott-Phillips"
7,"Abbott-Shea"
8,"Acevedo and Sons"
9,"Acevedo LLC"
10,"Acevedo, Rojas and Smith"
11,"Acosta and Sons"
12,"Acosta PLC"
13,"Acosta, Saunders and Thompson"
14,"Acosta, Thompson and Schultz"
15,"Acosta-Bailey"
16,"Acosta-Chandler"
17,"Acosta-Holmes"
18,"Adams and Sons"
19,"Adams Group"
20,"Adams Inc"
21,"Adams Ltd"
22,"Adams PLC"
23,"Adams, Coleman and Ross"
24,"Adams, Fritz and Smith"
25,"Adams, Garcia and Dudley"
26,"Adams, Hall and Robbins"
27,"Adams, Ibarra and Phillips"
28,"Adams, Martinez and Allen"
29,"Adams, Miller and Li"
30,"Adams, Myers and Mcdaniel"
31,"Adams, Parker and Summers"
32,"Adams, Sanchez and Perez"
33,"Adams, Stewart and Williams"
34,"Adams, Winters and Herrera"
35,"Adams-Barrett"
36,"Adams-Casey"
37,"Adams-Graves"
38,"Adams-Munoz"
39,"Adams-Simpson"
40,"Adams-Thornton"
41,"Adkins Inc"
42,"Adkins, Bennett and Sparks"
43,"Adkins, Larson and Collins"
44,"Adkins, Maxwell and Mcdonald"
45,"Adkins, Morales and Maynard"
46,"Adkins, Novak and Watkins"
47,"Adkins, Porter and Smith"
48,"Adkins, Smith and Garcia"
49,"Adkins, Wu and Hamilton"
50,"Adkins-Lopez"
51,"Adkins-Merritt"
52,"Adkins-Shepard"
53,"Adkins-Zhang"
54,"Aguilar and Sons"
55,"Aguilar Inc"
56,"Aguilar LLC"
57,"Aguilar, Ashley and Powers"
58,"Aguilar, Ayers and Lynn"
59,"Aguilar, Beltran and King"
60,"Aguilar, Buckley and King"
61,"Aguilar, Hansen and Owen"
62,"Aguilar, Hubbard and Glenn"
63,"Aguilar, Johnson and Wade"
